..\..\Data\Train_vi\1.bmp ..\..\Data\Train_ir\1.bmp
..\..\Data\Train_vi\10.bmp ..\..\Data\Train_ir\10.bmp
..\..\Data\Train_vi\11.bmp ..\..\Data\Train_ir\11.bmp
..\..\Data\Train_vi\12.bmp ..\..\Data\Train_ir\12.bmp
..\..\Data\Train_vi\13.bmp ..\..\Data\Train_ir\13.bmp
..\..\Data\Train_vi\14.bmp ..\..\Data\Train_ir\14.bmp
..\..\Data\Train_vi\15.bmp ..\..\Data\Train_ir\15.bmp
..\..\Data\Train_vi\16.bmp ..\..\Data\Train_ir\16.bmp
..\..\Data\Train_vi\17.tif ..\..\Data\Train_ir\17.tif
..\..\Data\Train_vi\18.tif ..\..\Data\Train_ir\18.tif
..\..\Data\Train_vi\19.bmp ..\..\Data\Train_ir\19.bmp
..\..\Data\Train_vi\2.bmp ..\..\Data\Train_ir\2.bmp
..\..\Data\Train_vi\20.bmp ..\..\Data\Train_ir\20.bmp
..\..\Data\Train_vi\21.bmp ..\..\Data\Train_ir\21.bmp
..\..\Data\Train_vi\24.bmp ..\..\Data\Train_ir\24.bmp
..\..\Data\Train_vi\25.bmp ..\..\Data\Train_ir\25.bmp
..\..\Data\Train_vi\26.bmp ..\..\Data\Train_ir\26.bmp
..\..\Data\Train_vi\27.bmp ..\..\Data\Train_ir\27.bmp
..\..\Data\Train_vi\28.bmp ..\..\Data\Train_ir\28.bmp
..\..\Data\Train_vi\29.bmp ..\..\Data\Train_ir\29.bmp
..\..\Data\Train_vi\3.bmp ..\..\Data\Train_ir\3.bmp
..\..\Data\Train_vi\30.bmp ..\..\Data\Train_ir\30.bmp
..\..\Data\Train_vi\31.bmp ..\..\Data\Train_ir\31.bmp
..\..\Data\Train_vi\32.bmp ..\..\Data\Train_ir\32.bmp
..\..\Data\Train_vi\33.bmp ..\..\Data\Train_ir\33.bmp
..\..\Data\Train_vi\34.bmp ..\..\Data\Train_ir\34.bmp
..\..\Data\Train_vi\35.bmp ..\..\Data\Train_ir\35.bmp
..\..\Data\Train_vi\38.bmp ..\..\Data\Train_ir\38.bmp
..\..\Data\Train_vi\39.bmp ..\..\Data\Train_ir\39.bmp
..\..\Data\Train_vi\4.bmp ..\..\Data\Train_ir\4.bmp
..\..\Data\Train_vi\41.bmp ..\..\Data\Train_ir\41.bmp
..\..\Data\Train_vi\43.bmp ..\..\Data\Train_ir\43.bmp
..\..\Data\Train_vi\45.bmp ..\..\Data\Train_ir\45.bmp
..\..\Data\Train_vi\47.bmp ..\..\Data\Train_ir\47.bmp
..\..\Data\Train_vi\48.bmp ..\..\Data\Train_ir\48.bmp
..\..\Data\Train_vi\49.bmp ..\..\Data\Train_ir\49.bmp
..\..\Data\Train_vi\5.bmp ..\..\Data\Train_ir\5.bmp
..\..\Data\Train_vi\6.bmp ..\..\Data\Train_ir\6.bmp
..\..\Data\Train_vi\7.bmp ..\..\Data\Train_ir\7.bmp
..\..\Data\Train_vi\8.bmp ..\..\Data\Train_ir\8.bmp
..\..\Data\Train_vi\9.bmp ..\..\Data\Train_ir\9.bmp
